Record_Id,Question_Id,Question_Text,Quetion_Type,Question_Start_Word,Answer_ID,Full_Answer,Expert_Commentary,Hadith_Full_Answer,Hadith_Matn,Answer-Instances ,Source_Name,Source_Link,Credibility,Question_ID_in_the_Orignal_Dataset
11,11,ما هو ضرر الشرك الأكبر؟,D ,ما,1,الشّرك الأكبر يسبب الخلود فِي النّار (إنّه مَن يُشرِك باللهِ فَقَدْ حرّمَ اللهُ عَلَيهِ الجنّة ومأواهُ النّار)[المائدة:].   ( من ماتَ يُشرِك باللهِ شيئاً دخل النّار ) (رواه مسلم),الشّرك الأكبر يسبب الخلود فِي النّار,( من ماتَ يُشرِك باللهِ شيئاً دخل النّار ) (رواه مسلم), من ماتَ يُشرِك باللهِ شيئاً دخل النّار ,دخل النّار ,كتاب عقيدة كل مسلم في سؤال و جواب لمحمد بن جميل زينو,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D8%B9%D9%82%D9%8A%D8%AF%D8%A9-%D9%83%D9%84-%D9%85%D8%B3%D9%84%D9%85-%D9%81%D9%8A-%D8%B3%D8%A4%D8%A7%D9%84-%D9%88-%D8%AC%D9%88%D8%A7%D8%A8-pdf,yes,14
12,12,هل ينفع العمل مع الشرك؟,C ,هل,1,لاَ ينفع العمل مَعَ الشّرك ( وَلَوْ أشركوا لحبط عنهم مَا كانوا يعملون) [الأنعام: 88].   (من عمِلَ عملاً أشرك معيَ فِيهِ غيري تركتُه وشِرْكَه) (حديث قدسي رواه مسلم),لاَ ينفع العمل مَعَ الشّرك,(من عمِلَ عملاً أشرك معيَ فِيهِ غيري تركتُه وشِرْكَه) (حديث قدسي رواه مسلم),من عمِلَ عملاً أشرك معيَ فِيهِ غيري تركتُه وشِرْكَه,من عمِلَ عملاً أشرك معيَ فِيهِ غيري تركتُه وشِرْكَه,كتاب عقيدة كل مسلم في سؤال و جواب لمحمد بن جميل زينو,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D8%B9%D9%82%D9%8A%D8%AF%D8%A9-%D9%83%D9%84-%D9%85%D8%B3%D9%84%D9%85-%D9%81%D9%8A-%D8%B3%D8%A4%D8%A7%D9%84-%D9%88-%D8%AC%D9%88%D8%A7%D8%A8-pdf,yes,15
13,13,هل الشرك موجود في المسلمين؟,C ,هل,1,نعم موجود بكثرة مَعَ الأسف ( وَمَا يؤمِنُ أكثَرُهُم باللهِ إِلاَّ وهم مشرِكون) [يوسف: 106].   ( لاَ تقوم السّاعة حتّى تلحق قبائل مِن أُمّتي بالمشركين وحتى تُعبَد الأوثان) (صحيح رواه الترمذي),نعم موجود بكثرة مَعَ الأسف,( لاَ تقوم السّاعة حتّى تلحق قبائل مِن أُمّتي بالمشركين وحتى تُعبَد الأوثان) (صحيح رواه الترمذي), لاَ تقوم السّاعة حتّى تلحق قبائل مِن أُمّتي بالمشركين وحتى تُعبَد الأوثان, لاَ تقوم السّاعة حتّى تلحق قبائل مِن أُمّتي بالمشركين وحتى تُعبَد الأوثان,كتاب عقيدة كل مسلم في سؤال و جواب لمحمد بن جميل زينو,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D8%B9%D9%82%D9%8A%D8%AF%D8%A9-%D9%83%D9%84-%D9%85%D8%B3%D9%84%D9%85-%D9%81%D9%8A-%D8%B3%D8%A4%D8%A7%D9%84-%D9%88-%D8%AC%D9%88%D8%A7%D8%A8-pdf,yes,16
14,14,ما حكم دعاء غير الله كالأولياء؟,D ,ما,1,دعاؤهم شرك يُدخل النّار ( فَلاَ تدعُ مَعَ اللهِ إلهاً آخر فتكون مِنَ المُعذّبين) (فِي النّار) [الشعراء: 213].   ( من ماتَ وَهُوَ يدعو مِن دون الله نِدّاً دخل النّار) (رواه البخاري),دعاؤهم شرك يُدخل النّار,( من ماتَ وَهُوَ يدعو مِن دون الله نِدّاً دخل النّار) (رواه البخاري), من ماتَ وَهُوَ يدعو مِن دون الله نِدّاً دخل النّار, دخل النّار,كتاب عقيدة كل مسلم في سؤال و جواب لمحمد بن جميل زينو,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D8%B9%D9%82%D9%8A%D8%AF%D8%A9-%D9%83%D9%84-%D9%85%D8%B3%D9%84%D9%85-%D9%81%D9%8A-%D8%B3%D8%A4%D8%A7%D9%84-%D9%88-%D8%AC%D9%88%D8%A7%D8%A8-pdf,yes,17
15,15,هل الدعاء عبادة لله تعالى؟,C ,هل,1,نعم الدّعاء عبادة لله تعالى ( وقال ربّكم ادُعوني أستجب لكم) [غافر: 60].   ( الدّعاء هُوَ العبادة) (رواه الترمذي وقال حديث صحيح),نعم الدّعاء عبادة لله تعالى,( الدّعاء هُوَ العبادة) (رواه الترمذي وقال حديث صحيح), الدّعاء هُوَ العبادة, الدّعاء هُوَ العبادة,كتاب عقيدة كل مسلم في سؤال و جواب لمحمد بن جميل زينو,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D8%B9%D9%82%D9%8A%D8%AF%D8%A9-%D9%83%D9%84-%D9%85%D8%B3%D9%84%D9%85-%D9%81%D9%8A-%D8%B3%D8%A4%D8%A7%D9%84-%D9%88-%D8%AC%D9%88%D8%A7%D8%A8-pdf,yes,18
16,16,هل يسمع الأموات الدعاء؟,C ,هل,1,الأموات لاَ يسمعون الدّعاء ( إنّك لاَ تسمع الموتى) [النمل]. الأموات لاَ يسمعون الدّعاء  ( وَمَا أنت بمُسمعٍ من فِي القبور) [فاطر]. .   ( إنّ للهِ ملائكةً سيّاحين فِي الأرض يُبَلّغوني عَنْ أُمّتي السّلام) (رواه أحمد),الأموات لاَ يسمعون الدّعاء,( إنّ للهِ ملائكةً سيّاحين فِي الأرض يُبَلّغوني عَنْ أُمّتي السّلام) (رواه أحمد), إنّ للهِ ملائكةً سيّاحين فِي الأرض يُبَلّغوني عَنْ أُمّتي السّلام, إنّ للهِ ملائكةً سيّاحين فِي الأرض يُبَلّغوني عَنْ أُمّتي السّلام,كتاب عقيدة كل مسلم في سؤال و جواب لمحمد بن جميل زينو,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D8%B9%D9%82%D9%8A%D8%AF%D8%A9-%D9%83%D9%84-%D9%85%D8%B3%D9%84%D9%85-%D9%81%D9%8A-%D8%B3%D8%A4%D8%A7%D9%84-%D9%88-%D8%AC%D9%88%D8%A7%D8%A8-pdf,yes,19
17,17,هل نستغيث بالأموات أو الغائبين؟,C ,هل,1,لاَ نستغيث بهم بل نستغيث باللهِ (إِذْ تستغيثون ربّكم فاستجاب لكم) [الأنفال: 9].   ( كَانَ إِذَا أصابه هَمٌّ أَوْ غَمٌّ قَالَ: يَا حيُّ يَا قيّوم برحمتك أستغيث) (رواه الترمذي),لاَ نستغيث بهم بل نستغيث باللهِ,( كَانَ إِذَا أصابه هَمٌّ أَوْ غَمٌّ قَالَ: يَا حيُّ يَا قيّوم برحمتك أستغيث) (رواه الترمذي), كَانَ إِذَا أصابه هَمٌّ أَوْ غَمٌّ قَالَ: يَا حيُّ يَا قيّوم برحمتك أستغيث, كَانَ إِذَا أصابه هَمٌّ أَوْ غَمٌّ قَالَ: يَا حيُّ يَا قيّوم برحمتك أستغيث,كتاب عقيدة كل مسلم في سؤال و جواب لمحمد بن جميل زينو,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D8%B9%D9%82%D9%8A%D8%AF%D8%A9-%D9%83%D9%84-%D9%85%D8%B3%D9%84%D9%85-%D9%81%D9%8A-%D8%B3%D8%A4%D8%A7%D9%84-%D9%88-%D8%AC%D9%88%D8%A7%D8%A8-pdf,yes,20
18,18,هل تجوز الاستعانة بغير الله؟,C ,هل,1,لاَ تجوز الاستعانة إِلاَّ بالله (إيّاك نَعبدُ وإيّاك نستعين) [الفاتحة: 5].   ( إِذَا سألت فاسأل الله وَإِذَا استعنت فاستعن بالله) (رواه الترمذي),لاَ تجوز الاستعانة إِلاَّ بالله,( إِذَا سألت فاسأل الله وَإِذَا استعنت فاستعن بالله) (رواه الترمذي), إِذَا سألت فاسأل الله وَإِذَا استعنت فاستعن بالله, وَإِذَا استعنت فاستعن بالله,كتاب عقيدة كل مسلم في سؤال و جواب لمحمد بن جميل زينو,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D8%B9%D9%82%D9%8A%D8%AF%D8%A9-%D9%83%D9%84-%D9%85%D8%B3%D9%84%D9%85-%D9%81%D9%8A-%D8%B3%D8%A4%D8%A7%D9%84-%D9%88-%D8%AC%D9%88%D8%A7%D8%A8-pdf,yes,21
19,19,هل نستعين بالأحياء الحاضرين؟,C ,هل,1,"نعم، فيما يقدرون عَلَيهِ (وتعاوَنوا عَلَى البرّ والتّقوى وَلاَ تعاونوا عَلَى الإثمِ والعُدوان) [المائدة: 2].   (واللهُ فِي عونِ العبد مَا دام العبدُ فِي عونِ أخيه) (رواه مسلم)","نعم، فيما يقدرون عَلَيهِ",(واللهُ فِي عونِ العبد مَا دام العبدُ فِي عونِ أخيه) (رواه مسلم),واللهُ فِي عونِ العبد مَا دام العبدُ فِي عونِ أخيه,واللهُ فِي عونِ العبد مَا دام العبدُ فِي عونِ أخيه,كتاب عقيدة كل مسلم في سؤال و جواب لمحمد بن جميل زينو,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D8%B9%D9%82%D9%8A%D8%AF%D8%A9-%D9%83%D9%84-%D9%85%D8%B3%D9%84%D9%85-%D9%81%D9%8A-%D8%B3%D8%A4%D8%A7%D9%84-%D9%88-%D8%AC%D9%88%D8%A7%D8%A8-pdf,yes,22
20,20,هل يجوز النذر لغير الله؟,C ,هل,1,لاَ يجوز النّذر إِلاَّ لله (ربِّ إنّي نذرتُ لكَ مَا فِي بطني مُحرَّراً فَتَقَبّل منّي) [آل عمران: 35].   (من نذر أَنْ يُطيعَ اللهَ فلْيُطِعه ومن نذر أَنْ يعصِيَه فَلاَ يَعْصِه) (رواه البخاري),لاَ يجوز النّذر إِلاَّ لله,(من نذر أَنْ يُطيعَ اللهَ فلْيُطِعه ومن نذر أَنْ يعصِيَه فَلاَ يَعْصِه) (رواه البخاري),من نذر أَنْ يُطيعَ اللهَ فلْيُطِعه ومن نذر أَنْ يعصِيَه فَلاَ يَعْصِه,من نذر أَنْ يُطيعَ اللهَ فلْيُطِعه ومن نذر أَنْ يعصِيَه فَلاَ يَعْصِه,كتاب عقيدة كل مسلم في سؤال و جواب لمحمد بن جميل زينو,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D8%B9%D9%82%D9%8A%D8%AF%D8%A9-%D9%83%D9%84-%D9%85%D8%B3%D9%84%D9%85-%D9%81%D9%8A-%D8%B3%D8%A4%D8%A7%D9%84-%D9%88-%D8%AC%D9%88%D8%A7%D8%A8-pdf,yes,23
21,21,هل يجوز الذبح لغير الله؟,C ,هل,1,لاَ يجوز لأنّه مِن الشرك الأكبر ( فصلّ لربّك وانْحر) (أَيْ اذبح لله فقط) [الكوثر: 2].   (لعَنَ الله مَن ذبح لِغير الله) (رواه مسلم),لاَ يجوز لأنّه مِن الشرك الأكبر,(لعَنَ الله مَن ذبح لِغير الله) (رواه مسلم),لعَنَ الله مَن ذبح لِغير الله,لعَنَ الله مَن ذبح لِغير الله,كتاب عقيدة كل مسلم في سؤال و جواب لمحمد بن جميل زينو,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D8%B9%D9%82%D9%8A%D8%AF%D8%A9-%D9%83%D9%84-%D9%85%D8%B3%D9%84%D9%85-%D9%81%D9%8A-%D8%B3%D8%A4%D8%A7%D9%84-%D9%88-%D8%AC%D9%88%D8%A7%D8%A8-pdf,yes,24
22,22,هل يجوز الطواف بالقبور؟,C ,هل,1,لاَ يجوز الطّواف إِلاَّ بالكعبة (وَلْيَطّوَّفُوا بالبَيتِ العَتيق) (أَيْ الكعبة) [الحج: 29].   ( من طاف بالبيتِ سبعاً وصلّى ركعتين كَانَ كعتق رقبة) (رواه ابن ماجه),لاَ يجوز الطّواف إِلاَّ بالكعبة,( من طاف بالبيتِ سبعاً وصلّى ركعتين كَانَ كعتق رقبة) (رواه ابن ماجه), من طاف بالبيتِ سبعاً وصلّى ركعتين كَانَ كعتق رقبة, من طاف بالبيتِ سبعاً وصلّى ركعتين كَانَ كعتق رقبة,كتاب عقيدة كل مسلم في سؤال و جواب لمحمد بن جميل زينو,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D8%B9%D9%82%D9%8A%D8%AF%D8%A9-%D9%83%D9%84-%D9%85%D8%B3%D9%84%D9%85-%D9%81%D9%8A-%D8%B3%D8%A4%D8%A7%D9%84-%D9%88-%D8%AC%D9%88%D8%A7%D8%A8-pdf,yes,25
23,23,هل تجوز الصلاة والقبر أمامك؟,C ,هل,1,"لاَ تجوز الصّلاة إِلَى القبر (فَولّ وجهكَ شَطْرَ المسجِدِ الحَرام) (أَيْ استقبل الكعبة) [البقرة: 144].   ( لاَ تجلسوا عَلَى القبور، وَلاَ تصلّوا إليها) (رواه مسلم)",لاَ تجوز الصّلاة إِلَى القبر,"( لاَ تجلسوا عَلَى القبور، وَلاَ تصلّوا إليها) (رواه مسلم)"," لاَ تجلسوا عَلَى القبور، وَلاَ تصلّوا إليها"," لاَ تجلسوا عَلَى القبور، وَلاَ تصلّوا إليها",كتاب عقيدة كل مسلم في سؤال و جواب لمحمد بن جميل زينو,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D8%B9%D9%82%D9%8A%D8%AF%D8%A9-%D9%83%D9%84-%D9%85%D8%B3%D9%84%D9%85-%D9%81%D9%8A-%D8%B3%D8%A4%D8%A7%D9%84-%D9%88-%D8%AC%D9%88%D8%A7%D8%A8-pdf,yes,26
24,24,ما حكم العمل بالسحر؟,D ,ما,1,"العمل بالسّحر من الكفر ( ولكنّ الشّياطينَ كفروا يُعلّمونَ النّاس السّحر) [البقرة: 102].   ( اجتنبوا السبع الموبقات: الشرك بالله، والسّحر) رواه مسلم)",العمل بالسّحر من الكفر,"( اجتنبوا السبع الموبقات: الشرك بالله، والسّحر) رواه مسلم)"," اجتنبوا السبع الموبقات: الشرك بالله، والسّحر"," اجتنبوا السبع الموبقات: الشرك بالله، والسّحر",كتاب عقيدة كل مسلم في سؤال و جواب لمحمد بن جميل زينو,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D8%B9%D9%82%D9%8A%D8%AF%D8%A9-%D9%83%D9%84-%D9%85%D8%B3%D9%84%D9%85-%D9%81%D9%8A-%D8%B3%D8%A4%D8%A7%D9%84-%D9%88-%D8%AC%D9%88%D8%A7%D8%A8-pdf,yes,27
25,25,هل نصدق العراف والكاهن؟,C ,هل,1,لاَ نصدّقهما فِي إخبارهما عَنْ الغيب ( قل لاَ يعلم من فِي السَّمَاوَات والأرضِ الغيب إِلاَّ الله) [النمل: 65].   ( من أتى عرّافاً أَوْ كاهناً فصدّقه بِمَا يقول فَقَدْ كفر بِمَا أُنزل عَلَى محمد) (صحيح رواه أحمد),لاَ نصدّقهما فِي إخبارهما عَنْ الغيب,( من أتى عرّافاً أَوْ كاهناً فصدّقه بِمَا يقول فَقَدْ كفر بِمَا أُنزل عَلَى محمد) (صحيح رواه أحمد), من أتى عرّافاً أَوْ كاهناً فصدّقه بِمَا يقول فَقَدْ كفر بِمَا أُنزل عَلَى محمد, من أتى عرّافاً أَوْ كاهناً فصدّقه بِمَا يقول فَقَدْ كفر بِمَا أُنزل عَلَى محمد,كتاب عقيدة كل مسلم في سؤال و جواب لمحمد بن جميل زينو,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D8%B9%D9%82%D9%8A%D8%AF%D8%A9-%D9%83%D9%84-%D9%85%D8%B3%D9%84%D9%85-%D9%81%D9%8A-%D8%B3%D8%A4%D8%A7%D9%84-%D9%88-%D8%AC%D9%88%D8%A7%D8%A8-pdf,yes,28
